C.D.,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014p
1,93.5,117.7,110.9,157,151.8,196,202.5,155.8,176.8,138.4
2,282.3,277.2,218,284.3,297.2,263.6,252.7,151,233.5,277.5
3,227.4,247,189.6,179.9,229,298.3,223.8,234.2,204.5,267.4
4,352.4,281.9,392.9,338,-,427.9,444.7,314.3,374.3,558.1
5,185.3,210.6,184.8,231.4,156.9,197.2,260.6,215.9,282.2,350.7
6 & 15,483.4,453,441.9,453.9,386.7,328.1,390.5,286.2,309.5,222.6
7,441.9,329.2,365.8,390.6,159.8,432.1,393.5,338.9,385.6,321.6
8,478.1,366.6,378.9,342.9,251,366.3,331.6,246.3,240.6,206.6
9,115.9,147,65.1,116.1,161.5,148.2,137.2,136.9,120.2,84.1
10,424.8,388.4,395,434.4,362.4,380.5,491.9,325.9,360.3,274.6
11,396.3,506.7,566,525.2,470.8,416.7,429.7,394.1,300.3,341.7
12,383.2,421.3,513.5,372.3,361.8,446.6,493.7,369.9,349.6,339.7
13,614.8,585.9,685,623.4,533.7,545.2,524.3,518.4,422.3,330.4
14,129.5,87.6,80.3,130.4,147.8,87.1,80.4,76,85.2,90.3
16,-,-,-,-,-,-,-,-,-,-
17,346.8,392.4,342.5,465,502,443.2,422.4,258.8,273,335.3
18,69,106,258.7,114.2,221.9,120.1,99.4,109.4,-,-
19,485.4,518.6,390.7,425.8,488.8,503.6,421.3,456.6,306.2,363.6
Province,"5,525.00","5,450.00","5,415.00","5,260.00","4,555.00","4,960.00","4,750.00","4,600.00","4,520.00","4,595.00"
1,1.9,1.7,2.4,1.9,1.8,2.1,2.1,2.2,1.1,1.6
2,3,2.9,3,3.7,3.4,3.1,2.9,3,2.6,2.7
3,2.3,2.1,2,2.8,2.1,2.6,2,1.8,2,2.6
4,1,1.1,1.4,1,-,1.9,1.6,1.6,1.5,0.9
5,1.9,2.1,2.3,2.6,1.5,2.4,2.1,2.3,2.3,2.4
6 & 15,2.1,2,2.2,2.2,1.2,2.2,2.1,2.1,2.1,2.4
7,1.7,1.5,1.6,1.8,-,2.2,1.9,1.8,1.5,1.2
8,2.3,2.2,2.3,2.1,1.4,2.3,2.1,2.1,2,2.7
9,2.1,1.9,2,2.1,1.2,1.8,2.6,1.8,1.8,1.3
10,1.4,1.3,1.5,1.4,0.6,1.7,1.4,1.3,2,1.7
11,1.5,1.7,2,1.8,1.1,1.8,1.7,1.7,1.8,1.5
12,1.5,1.3,1.3,1.5,0.7,1.6,1.4,1.5,1.5,1.8
13,1.8,1.6,1.9,1.7,0.9,1.5,1.9,2,1.9,2.1
14,1.8,1.2,1.5,1.9,1,1.7,1.5,1.9,-,1.9
16,-,-,-,-,-,-,-,-,-,-
17,1.2,1.2,1.4,1.5,0.9,0.8,1.4,1.6,1.9,1.4
18,1.6,1.6,1.9,1.5,0.8,1.2,1.6,2.6,-,-
19,1.3,1.1,1.6,1.3,0.8,0.8,1.7,1.7,1.9,0.9
Province,1.7,1.6,1.8,1.8,1.2,1.8,1.8,1.8,1.9,1.7
1,173.1,203,269.3,291.9,266.3,408.1,423.9,344.3,201.5,215.5
2,843.9,794.4,656.1,"1,063.10","1,001.80",823.2,739.6,448.6,596.1,753.6
3,521.3,530.3,375.7,500.4,477.4,777.7,440.7,429.4,406.4,699.7
4,349.1,319.3,562.9,350.2,147.2,819.7,721.2,503.8,533.9,488.2
5,350.4,445.4,432.7,603.6,230.4,465.6,539.7,491.5,647.5,854.2
6 & 15,"1,000.90",920.7,956.4,"1,006.80",468.4,709.1,831.7,613.2,652.6,524.2
7,745.3,481.5,574.4,706.5,-,967.3,759.6,595.1,591.6,393.9
8,"1,099.70",793.6,883.8,706.9,359.4,834.9,682,511.5,470.3,555.3
9,242.8,283.9,131.1,243.5,197.2,266.4,362.9,251.9,216.7,106
10,613.6,512.1,582.5,596.8,217.2,643.3,671.4,418.2,703.9,470.6
11,602.4,859.8,"1,148.10",966.6,532.8,768.7,734.2,664.6,527.3,513.7
12,580.4,543.3,643.9,574.8,236.7,731.7,679.3,536.2,537.4,615
13,"1,096.70",939,"1,294.00","1,030.30",453.7,792.6,"1,004.60","1,048.90",786.8,700.9
14,237.9,103.1,118,244,151.1,146.6,120.7,141.3,-,168.6
16,-,-,-,-,-,-,-,-,-,-
17,405.8,463.6,472.9,680.4,455.6,338.6,596.5,415.1,523.6,454.1
18,111.6,168.1,480.1,175.4,176.2,142.5,156.7,281.6,148.1,121.3
19,651.8,573,638.1,558.5,412.2,404.3,735.5,781,580.9,332.5
Province,"9,650.00","8,975.00","10,000.00","9,730.00","5,440.00","9,065.00","8,750.00","8,500.00","8,365.00","8,000.00"
