"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",207,194.3,220.7
"1951-01-01 00:00:00",206.5,192.3,217.1
"1952-01-01 00:00:00",209.5,192,225
"1953-01-01 00:00:00",206.5,199.3,219.1
"1954-01-01 00:00:00",208,202,216.7
"1955-01-01 00:00:00",203.5,192.3,219
"1956-01-01 00:00:00",208.5,197.6,220.4
"1957-01-01 00:00:00",210.5,201,222.4
"1958-01-01 00:00:00",212.5,196.9,222.7
"1959-01-01 00:00:00",206.5,197,222.8
"1960-01-01 00:00:00",209.5,197.6,218.7
"1961-01-01 00:00:00",207,196.5,216.7
"1962-01-01 00:00:00",207,196.6,220.9
"1963-01-01 00:00:00",209,199.9,217.7
"1964-01-01 00:00:00",216.5,203.6,224
"1965-01-01 00:00:00",211.5,197.5,217.7
"1966-01-01 00:00:00",212.5,194.9,226.7
"1967-01-01 00:00:00",206.5,198.6,221.7
"1968-01-01 00:00:00",211.5,199,222
"1969-01-01 00:00:00",212,200.2,226.4
"1970-01-01 00:00:00",204.5,196.5,217
"1971-01-01 00:00:00",207.5,194.6,221
"1972-01-01 00:00:00",210,198.3,224.4
"1973-01-01 00:00:00",209,197.8,221.2
"1974-01-01 00:00:00",207,196.3,221.4
"1975-01-01 00:00:00",208,196.6,215
"1976-01-01 00:00:00",212,200.3,220.8
"1977-01-01 00:00:00",210,199.3,218.8
"1978-01-01 00:00:00",206.5,199,215
"1979-01-01 00:00:00",205.5,195.6,215.4
"1980-01-01 00:00:00",208.5,193.2,220
"1981-01-01 00:00:00",209.5,192.8,220.8
"1982-01-01 00:00:00",208,201,220
"1983-01-01 00:00:00",208.5,197.9,215.1
"1984-01-01 00:00:00",203.5,196,221.8
"1985-01-01 00:00:00",208,200.6,218.5
"1986-01-01 00:00:00",206,194,221
"1987-01-01 00:00:00",206.5,194,218.7
"1988-01-01 00:00:00",203.5,194,212
"1989-01-01 00:00:00",207,193.9,217.7
"1990-01-01 00:00:00",207.5,194.3,220.8
"1991-01-01 00:00:00",206,194.6,216
