C.D.,2005,2006,2007,2008,2009,2010,2011,2012,2013r,2014p
1,7.6,10.4,5.3,6.4,3.2,3.3,4.2,2.6,3.4,-
2,8.6,13.3,5.8,3.9,- ,4.4,9.5,3.1,2.7,2.3
3,10,9.7,8,7.4,3.4,2.8,4.1,4,-,4.2
4,29.7,34.8,31.1,26.6,7.4,20.3,24.3,12.2,14.6,10.1
5,17,14.2,8.4,7.3,3.8,10,13.6,6.5,6,13.2
6 & 15 ,20.8,20.2,14.3,15.5,4.5,20,14.7,15.6,11.4,11.1
7,78.4,85.6,59.4,52,22.3,61.5,53.1,47.8,50.2,46.4
8,24.2,23.7,15.6,19.7,10.9,27.3,19.2,18.4,14.5,9.7
9,12.3,3.7,11.2,3.6,4.6,5.7,-,4.4,5.3,7.1
10,90.4,98.9,97.2,63.3,41.4,53.7,55.9,61.5,59,102.2
11,60.9,70.9,54.9,48.1,26.9,53,46.6,36.6,51.8,36.9
12,60.4,41.6,48.5,55.8,25.2,35.9,33.4,33.6,31.4,45
13,79.6,90.2,61,55.6,41.8,73.7,61.8,58.4,54.1,60.5
14,16.2,7.6,8.8,8,4.6,7.4,12.8,7.2,3.8,6.9
16,-,-,-,-,-,-,-,-,-,-
17,70.1,76.2,85.2,60.5,44.6,70.7,75.9,46.1,51,44.7
18,8.9,13.7,19.9,22,7,17.2,16,19,13.8,4.5
19,78.6,89.4,84.5,44.2,46.7,63,67.9,43.1,34.8,48.6
Province,675,705,620,500,300,530,585,420,410,455
1,58.6,46.1,46.6,47.3,69.3,81.8,49.4,81.3,66.9,-
2,62.2,79.9,60.8,75.2,- ,85.6,26.1,93.6,101,102.3
3,75.9,72.4,51,53.6,82.5,82.7,80,72.7,-,83.6
4,57,41,36.8,43.7,43.1,61.7,46.9,56.1,63.7,53.9
5,79,77.7,56.5,79.8,63.9,89.9,72.2,80.7,87.5,60.2
6 & 15 ,88,79,75.4,87.4,75.1,89.4,87.1,85.7,100.1,93.2
7,64.7,45.9,40.8,56.4,51.1,77.9,73.7,76.1,79.2,71.5
8,90.9,65.7,71.3,93.1,79.1,95.7,94.9,85.9,102.8,84.5
9,64.8,76.2,83,68.9,60.1,83.7,-,64.8,64,49.7
10,82.6,63.3,55.2,71.8,57.1,82,88.6,87.3,97.3,77.6
11,89.1,68.7,75.9,77.1,67.1,88.7,83.8,79.9,108.6,83.7
12,88.5,60.4,64.6,78,70.4,87.1,75.2,80.6,98.6,90.2
13,87.7,68.3,71.7,77.6,66.1,89.2,89.6,97,96.3,83.2
14,61.8,59.9,67.5,83.6,84.1,91.1,50.8,66.9,78.5,68.1
16,-,-,-,-,-,-,-,-,-,-
17,81,71.6,77.1,71.9,79,77.5,97.9,64.3,99.7,63.1
18,80.3,63.3,76.2,60.8,62.8,42.9,101.6,75.6,80.2,55.7
19,81.4,78.3,79.8,61.5,67,53.4,87.3,71.6,104.7,78.1
Province,79.7,65,65.6,70.2,66.7,79.2,81.9,80,95.1,77.4
1,6.9,7.4,3.8,4.7,3.4,4.2,3.2,3.2,3.5,-
2,8.3,16.4,5.4,4.5,-,5.8,3.8,4.5,4.2,3.6
3,11.7,10.8,6.3,6.1,4.3,3.6,5.1,4.5,-,5.4
4,26.1,22,17.7,17.9,4.9,19.3,17.6,10.5,14.4,8.4
5,20.7,17,7.3,9,3.7,13.9,15.2,8.1,8.1,12.3
6 & 15 ,28.3,24.6,16.7,20.9,5.2,27.5,19.7,20.7,17.6,16
7,78.2,60.5,37.4,45.2,17.6,73.9,60.4,56.1,61.3,51.1
8,34,24.1,17.2,28.3,13.3,40.2,28.1,24.4,23,12.7
9,12.3,4.3,14.3,3.9,4.3,7.4,4.3,4.4,5.3,5.4
10,115.2,96.5,82.7,70.1,36.4,68,76.5,82.9,88.7,122.3
11,83.6,75.1,64.2,57.2,27.8,72.6,60.3,45.1,86.8,47.6
12,82.4,38.8,48.3,67.1,27.3,48.2,38.7,41.8,47.7,62.7
13,107.7,95,67.5,66.5,42.6,101.4,85.4,87.3,80.4,77.6
14,15.5,7,9.2,10.3,6,10.4,10,7.5,4.6,7.2
16,-,-,-,-,-,-,-,-,-,-
17,87.6,84.1,101.2,67.1,54.3,84.6,114.7,45.7,78.4,43.4
18,11,13.4,23.4,20.6,6.8,11.4,25.1,22.1,17.1,3.9
19,98.6,108,104.1,41.9,48.2,51.9,91.4,47.6,56.2,58.6
Province,829.7,706.3,627.4,541.3,308.4,647.7,738.7,518.2,601.5,542.9
