"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",30.35,28.33,33.22
"1951-01-01 00:00:00",29.83,28.29,31.89
"1952-01-01 00:00:00",29.57,27.59,32.56
"1953-01-01 00:00:00",28.73,27.08,31.28
"1954-01-01 00:00:00",29.89,27.35,32.08
"1955-01-01 00:00:00",29.38,27.38,32.58
"1956-01-01 00:00:00",29.63,26.4,32.14
"1957-01-01 00:00:00",29.7,27.7,31.41
"1958-01-01 00:00:00",29.8,27.73,32.79
"1959-01-01 00:00:00",30.01,27.17,31.53
"1960-01-01 00:00:00",29.8,27.37,32.57
"1961-01-01 00:00:00",28.46,27.67,31.99
"1962-01-01 00:00:00",28.97,26.57,30.35
"1963-01-01 00:00:00",29.21,26.99,33.06
"1964-01-01 00:00:00",29.58,27.18,32.1
"1965-01-01 00:00:00",29.02,27.48,31.16
"1966-01-01 00:00:00",28.91,27.59,32.98
"1967-01-01 00:00:00",29.01,26.79,32.03
"1968-01-01 00:00:00",29.97,27.86,31.34
"1969-01-01 00:00:00",28.34,26.93,30.43
"1970-01-01 00:00:00",29.67,28.19,33.17
"1971-01-01 00:00:00",29.14,27.3,31.9
"1972-01-01 00:00:00",28.63,27.12,33.37
"1973-01-01 00:00:00",28.93,26.17,33.31
"1974-01-01 00:00:00",28.94,26.84,31.25
"1975-01-01 00:00:00",29.49,27.06,31.91
"1976-01-01 00:00:00",30.11,27.74,31.82
"1977-01-01 00:00:00",29.54,26.81,32.48
"1978-01-01 00:00:00",29.86,28.29,33.16
"1979-01-01 00:00:00",29.95,27.95,31.36
"1980-01-01 00:00:00",29.75,27.49,32.34
"1981-01-01 00:00:00",30.59,27.24,32.93
"1982-01-01 00:00:00",28.98,27.02,32.18
"1983-01-01 00:00:00",29,27.34,31.49
"1984-01-01 00:00:00",29.82,28.06,32.3
"1985-01-01 00:00:00",29.85,26.99,33.47
"1986-01-01 00:00:00",30.39,27.15,33.09
"1987-01-01 00:00:00",29.45,27.92,31.59
"1988-01-01 00:00:00",29.65,27.16,31.4
"1989-01-01 00:00:00",30.26,28.61,32.56
"1990-01-01 00:00:00",29.62,27.97,31.09
"1991-01-01 00:00:00",29.04,27.2,32.96
"1992-01-01 00:00:00",29.09,27.03,32.1
"1993-01-01 00:00:00",29.52,28.07,31.58
"1994-01-01 00:00:00",29.25,27.61,33.16
"1995-01-01 00:00:00",30,27.72,32.26
"1996-01-01 00:00:00",29.79,27.78,32.05
"1997-01-01 00:00:00",29.87,27.94,32.3
"1998-01-01 00:00:00",30.54,28.73,32.97
"1999-01-01 00:00:00",29.67,27.97,32.54
"2000-01-01 00:00:00",29.22,28.21,31.34
"2001-01-01 00:00:00",30.64,27.58,33.08
"2002-01-01 00:00:00",30.84,27.3,32.97
"2003-01-01 00:00:00",30.25,27.06,33.03
"2004-01-01 00:00:00",30.58,28.52,32.77
"2005-01-01 00:00:00",30.34,27.45,33.41,30.34,27.45,33.41,30.27,27.89,33.36,30.32,27.46,33.5
"2006-01-01 00:00:00",,,,29.93,28.53,33.13,30.68,27.38,33.5,30.83,28.59,34.44
"2007-01-01 00:00:00",,,,30.27,27.9,32.89,30.95,28.22,34.25,30.27,28.31,33.15
"2008-01-01 00:00:00",,,,29.23,27.61,32.53,30.98,28.14,32.95,30.26,28.01,33.04
"2009-01-01 00:00:00",,,,29.93,27.51,32.39,30.53,28.35,34.28,30.2,28.47,33.28
"2010-01-01 00:00:00",,,,29.65,28.74,33.31,29.69,28.22,33.89,30.65,27.08,33.4
"2011-01-01 00:00:00",,,,29.86,28.59,33.12,30.4,28.93,33,30.9,27.85,32.9
"2012-01-01 00:00:00",,,,30.9,28.38,34.3,30.95,28.56,33.57,29.98,28.17,32.3
"2013-01-01 00:00:00",,,,29.94,27.75,33.26,31.25,27.94,33.43,29.94,28.34,33.02
"2014-01-01 00:00:00",,,,31.5,28.7,33.12,30.62,27.96,34.27,30.74,28.16,33.99
"2015-01-01 00:00:00",,,,30.23,28.6,33.76,31.39,28.61,34.23,31.01,28.28,33.57
"2016-01-01 00:00:00",,,,31.57,28.25,34.11,30.18,26.99,32.41,30.4,28.66,32.38
"2017-01-01 00:00:00",,,,30.61,27.55,33.67,31.18,28.22,33.69,30.95,28.34,33.63
"2018-01-01 00:00:00",,,,30.24,28.4,33.13,31.17,29.68,34.29,30.59,28.14,32.4
"2019-01-01 00:00:00",,,,30.16,28.07,32.91,30.69,27.51,33.61,30.99,28.99,33.25
"2020-01-01 00:00:00",,,,31.44,28.49,32.9,31.75,28.75,34.53,30.75,28.44,34.36
"2021-01-01 00:00:00",,,,31.01,28.51,33.99,30.75,29.16,34.95,30.59,28.66,34.13
"2022-01-01 00:00:00",,,,31.24,29.96,34.65,30.04,28.28,32.81,30.94,28.78,33.52
"2023-01-01 00:00:00",,,,30.58,28.02,34.31,30.52,28.28,33.09,31.63,28.09,34.15
"2024-01-01 00:00:00",,,,31.05,28.88,33.94,30.86,28.49,33.4,31.46,28.83,36.1
"2025-01-01 00:00:00",,,,30.88,28.63,33.31,30.82,29.49,32.97,31.85,29.68,35.19
"2026-01-01 00:00:00",,,,31.52,29.96,33.45,31.62,28.89,33.6,31.71,29.51,34.19
"2027-01-01 00:00:00",,,,32.15,29.11,35.43,31.02,29.21,34.31,32.45,30.27,34.61
"2028-01-01 00:00:00",,,,31.05,29.46,34.35,30.93,28.55,34.16,31.85,27.85,34.29
"2029-01-01 00:00:00",,,,31.67,28.5,34.19,31.54,28.05,35.02,31.94,28.72,33.79
"2030-01-01 00:00:00",,,,31.41,29.29,34.32,31.09,30.07,33.12,31.34,29.09,33.86
"2031-01-01 00:00:00",,,,30.15,28.35,33.41,31.97,29.01,34.57,31.22,28.5,33.95
"2032-01-01 00:00:00",,,,30.95,28.74,33.77,31.16,29.04,34.52,31.93,30.27,33.48
"2033-01-01 00:00:00",,,,30.8,28.7,33.33,31.86,29.26,35.49,30.79,29.21,33.95
"2034-01-01 00:00:00",,,,32.05,30.22,34.2,31.43,28.44,34.24,32.1,29.37,35.38
"2035-01-01 00:00:00",,,,32.15,30.05,35.12,31.56,29.09,33.9,32,29.73,35.4
"2036-01-01 00:00:00",,,,31.69,28.58,34.81,31.94,28.5,34.82,32.03,29.26,34.99
"2037-01-01 00:00:00",,,,30.72,29.19,32.63,31.74,28.82,35.35,31.29,28.79,34.71
"2038-01-01 00:00:00",,,,30.94,28.61,34.45,32.03,28.47,34.68,33,29.79,37.14
"2039-01-01 00:00:00",,,,30.25,29.14,34.74,30.94,29.43,33.12,32.48,30.43,33.96
"2040-01-01 00:00:00",,,,31.9,30.06,34.44,31.3,28.75,34.62,32.73,28.81,37.56
"2041-01-01 00:00:00",,,,32.34,29.85,35.72,31.84,29.23,34.22,32.89,29.7,36.09
"2042-01-01 00:00:00",,,,31.21,28.36,34.05,31.69,29.1,34.21,32.98,29,35.23
"2043-01-01 00:00:00",,,,30.61,29,33.58,31.93,29.04,34.26,32.36,29.19,35.63
"2044-01-01 00:00:00",,,,31.07,29.21,34.92,32.65,30.38,36.16,31.98,29.77,35.2
"2045-01-01 00:00:00",,,,31.36,28.78,33.44,32.43,29,35.16,32.08,29.97,37.06
"2046-01-01 00:00:00",,,,31.93,28.72,34.79,31.51,29.97,35.94,32.58,30.36,35.75
"2047-01-01 00:00:00",,,,31.36,28.48,34.73,32.47,30.56,35.32,31.73,29.83,34.64
"2048-01-01 00:00:00",,,,30.97,29.23,34.96,32.33,29.68,34.83,33.26,30.14,36.03
"2049-01-01 00:00:00",,,,31.6,29.82,35.01,31.7,28.96,34.34,32.09,30.47,34.11
"2050-01-01 00:00:00",,,,31.47,29.03,33.72,31.9,29.54,36.5,32.36,29.77,36.85
"2051-01-01 00:00:00",,,,32.03,28.19,34.54,31.59,29.62,35.01,32.7,29.96,34.92
"2052-01-01 00:00:00",,,,32.79,30.41,35.21,32.36,30.68,35,33.44,30.16,36.95
"2053-01-01 00:00:00",,,,32.1,29.12,35.16,31.88,29.17,35.67,33.27,30.12,37.21
"2054-01-01 00:00:00",,,,31.91,29.16,35.33,31.99,29.64,35.03,34.31,30.69,37.94
"2055-01-01 00:00:00",,,,32.57,29.58,35.68,32.51,30.49,37.65,33.6,30.14,36.44
"2056-01-01 00:00:00",,,,31.35,28.44,34.33,31.81,29.46,35.38,33.92,30.86,37.22
"2057-01-01 00:00:00",,,,31.3,28.67,34.39,32.49,29.22,34.67,33.48,29.73,36.88
"2058-01-01 00:00:00",,,,32.05,28.07,35.72,33,29.35,35.3,33.6,31.7,37.16
"2059-01-01 00:00:00",,,,31,29.07,34.42,32.49,30.93,35.27,34.25,31.07,37.6
"2060-01-01 00:00:00",,,,31.74,29.96,35.67,32.93,30.23,35.27,33.27,29.86,37.48
"2061-01-01 00:00:00",,,,32.28,28.83,35.32,33.29,29.08,35.63,33.77,29.9,37.62
"2062-01-01 00:00:00",,,,31.75,29.2,35.57,32.18,30.09,35.3,33.92,30.37,37.02
"2063-01-01 00:00:00",,,,30.1,28.87,33.17,33.35,30.35,34.96,35.14,31.02,37.67
"2064-01-01 00:00:00",,,,31.71,28.71,34.4,32.92,30.53,36.45,34,31.12,37.24
"2065-01-01 00:00:00",,,,32.28,28.16,34.63,32.6,29.84,35.53,34.03,31.9,38.02
